company,symbol,fiscal_year,quarter,period_end_date,currency,unit_multiplier,revenue,cogs,gross_profit,operating_expenses,operating_income,net_income,ytd_qtr_fixed
DIPPED PRODUCTS PLC,,2021/22,Q2,2021-12-31,LKR,1000,12730290,-10421358,2308932,-1210000,1169932,927179,
DIPPED PRODUCTS PLC,,2021/22,Q1,2022-03-31,LKR,1000,12550,-10174,2376,-1911,465,3011,
DIPPED PRODUCTS PLC,,2022/23,Q1,2022-06-30,LKR,1000,20730476,-15374560,5355916,-2260288,3095628,4252636,
DIPPED PRODUCTS PLC,,2022/23,Q2,2022-09-30,LKR,1000,1994058,-31989523,1004535,-1851685,819850,6079948,
DIPPED PRODUCTS PLC,,2022/23,Q2,2022-12-31,LKR,1000,61581013,-47318492,14262521,-4200000,10000000,7001987,
DIPPED PRODUCTS PLC,,2022/23,Q1,2023-03-31,LKR,1000,18518,-13172,5347,-3137,2210,1500,
DIPPED PRODUCTS PLC,,2023/24,Q1,2023-06-30,LKR,1000,18551212,-15084368,3466844,-348559,3118285,719991,
DIPPED PRODUCTS PLC,,2023/24,Q1,2023-09-30,LKR,1000,18272,-14039,4234,-744,3490,1143,
DIPPED PRODUCTS PLC,,2023/24,Q2,2023-12-31,LKR,1000,18041,-14176,3866,-2658,1208,916,
DIPPED PRODUCTS PLC,,2023/24,Q1,2024-03-31,LKR,1000,19076,-13583,5492,-1355,4137,2958,
DIPPED PRODUCTS PLC,,2024/25,Q1,2024-06-30,LKR,1000,19186326,-15665738,3520588,-2059343,1461245,812512,
DIPPED PRODUCTS PLC,,2024/25,Q1,2024-09-30,LKR,1000,40463469,-32303881,8159588,-525350,4134238,2119244,
DIPPED PRODUCTS PLC,,2024/25,Q2,2024-12-31,LKR,1000,19343,-15514,3828,-2886,1942,1157,
