company,symbol,fiscal_year,quarter,period_end_date,currency,unit_multiplier,revenue,cogs,gross_profit,operating_expenses,operating_income,net_income,ytd_qtr_fixed
Richard Pieris Exports PLC,,2021/22,Q1,2021-12-31,LKR,1000,1778416,-1202429,575987,-376883,205982,181879,
Richard Pieris Exports PLC,,2021/22,Q1,2022-03-31,LKR,1000,1604137,-1037979,566158,-411158,169189,1033224,
Richard Pieris Exports PLC,,2022/23,Q1,2022-06-30,LKR,1000,2767931,-1735091,1032840,-580825,452515,991673,
Richard Pieris Exports PLC,,2022/23,Q1,2022-09-30,LKR,1000,2661097,-1979877,681220,-469543,217655,250220,
Richard Pieris Exports PLC,RPEL,2022/23,Q1,2022-12-31,LKR,1000,1909048,-1487153,421895,-417518,11502,52543,
Richard Pieris Exports PLC,,2022/23,Q1,2023-03-31,LKR,1000,1702720,-1234766,467954,-455982,19939,-247433,
Richard Pieris Exports PLC,,2023/24,Q1,2023-06-30,LKR,1000,1474458,-1275967,198491,-251260,-44991,-142922,
Richard Pieris Exports PLC,,2023/24,Q1,2023-09-30,LKR,1000,2069984,-1661929,408055,-305416,113159,175852,
Richard Pieris Exports PLC,,2023/24,Q1,2023-12-31,LKR,1000,2089873,-1670217,419656,-344182,87501,70783,
Richard Pieris Exports PLC,,2023/24,Q1,2024-03-31,LKR,1000,1486128,-1123186,362942,-238102,135080,-69608,
Richard Pieris Exports PLC,,2024/25,Q1,2024-06-30,LKR,1000,147120443,-5731299,1389144,-759240,290750,34136,
Richard Pieris Exports PLC,,2024/25,Q1,2024-09-30,LKR,1000,2139733,-1707131,426602,-440,113159,-53830,
Richard Pieris Exports PLC,,2024/25,Q1,2024-12-31,LKR,1000,1941892,-1607594,334298,-366856,-26507,-53970,
Richard Pieris Exports PLC,,2021/22,Q1,2021-12-31,LKR,1000,1778416,-1202429,575987,-376883,205982,181879,
Richard Pieris Exports PLC,,2021/22,Q1,2022-03-31,LKR,1000,1604137,-1037979,566158,-410138,169189,1033224,
Richard Pieris Exports PLC,,2022/23,Q1,2022-06-30,LKR,1000,2767931,-1735091,1032840,-580824,452516,991673,
Richard Pieris Exports PLC,,2022/23,Q1,2022-09-30,LKR,1000,2661097,-1979877,681220,-469543,217655,250220,
Richard Pieris Exports PLC,,2022/23,Q1,2022-12-31,LKR,1000,1909048,-1487153,421895,-417518,11502,52543,
Richard Pieris Exports PLC,,2023/24,Q1,2023-03-31,LKR,1000,1702720,-1234766,467954,-455982,19939,-247433,
Richard Pieris Exports PLC,,2023/24,Q1,2023-06-30,LKR,1000,1474458,-1275967,198491,-251260,-44991,-199371,
Richard Pieris Exports PLC,,2023/24,Q1,2023-09-30,LKR,1000,2069984,-1661929,408055,-305416,113159,175852,
Richard Pieris Exports PLC,,2023/24,Q1,2023-12-31,LKR,1000,2089873,-1670217,419656,-344182,87501,70783,
Richard Pieris Exports PLC,,2023/24,Q1,2024-03-31,LKR,1000,1486128,-1123186,362942,-242102,135080,-69608,
Richard Pieris Exports PLC,,2024/25,Q1,2024-06-30,LKR,1000,147120443,-5731299,1389144,-759240,290750,34136,
Richard Pieris Exports PLC,,2024/25,Q1,2024-09-30,LKR,1000,2139733,-1707131,426602,-440,113159,-53830,
Richard Pieris Exports PLC,,2024/25,Q1,2024-12-31,LKR,1000,1941892,-1607594,334298,-366856,-26507,-53970,
